iter	Passed	Remaining
0	1	141
1	2	101
2	2	87
3	3	79
4	4	76
5	4	72
6	5	69
7	5	66
8	6	63
9	6	61
10	7	59
11	8	58
12	8	56
13	9	55
14	9	53
15	9	52
16	10	51
17	10	49
18	11	48
19	11	47
20	12	46
21	12	45
22	13	44
23	13	43
24	14	42
25	14	42
26	15	41
27	15	40
28	16	39
29	16	38
30	17	38
31	17	37
32	18	36
33	18	35
34	18	35
35	19	34
36	19	33
37	20	33
38	20	32
39	21	31
40	21	31
41	22	30
42	22	29
43	22	29
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	26	23
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	41	8
83	41	7
84	41	7
85	42	6
86	42	6
87	43	5
88	43	5
89	44	4
90	44	4
91	45	3
92	45	3
93	45	2
94	46	2
95	46	1
96	47	1
97	47	0
98	48	0
99	48	0
